Derbyshire,65884
Leicestershire,71355
Lincolnshire,44992
Northamptonshire,49288
Nottinghamshire,84263
Bedfordshire,43617
Cambridgeshire,56527
Essex,103445
Hertfordshire,66441
Norfolk,43222
Suffolk,46357
London City of,6374
Metropolitan Police,819527
British Transport Police(2006),58326
Cleveland,43018
Durham,8245
Northumbria,82299
Cheshire,63729
Cumbria,26988
Greater Manchester,226945
Lancashire,102503
Merseyside,89747
Hampshire,3818
Hampshire,129682
Kent,105638
Surrey,65124
Sussex,97134
Thames Valley,172422
Avon & Somerset,119122
Devon & Cornwall,86689
Dorset,46300
Gloucestershire,36044
Wiltshire,15430
Dyfed-Powys,21727
Gwent,45593
North Wales,41865
South Wales,93788
Staffordshire,70890
Warwickshire,32827
West Mercia,72142
West Midlands,215350
Humberside,76161
North Yorkshire,42464
South Yorkshire,102741
West Yorkshire,189388
Wiltshire,22066
Derbyshire,64809
Leicestershire,68974
Lincolnshire,45220
Northamptonshire,48505
Nottinghamshire,81772
Bedfordshire,43334
Cambridgeshire,54732
Essex,102661
Hertfordshire,65734
Norfolk,43387
Suffolk,45708
London City of,6564
Metropolitan Police,818313
British Transport Police(2006),57678
Cleveland,42557
Durham,8585
Northumbria,79420
Cheshire,61546
Cumbria,26447
Greater Manchester,220508
Lancashire,100470
Merseyside,89075
Hampshire,3864
Merseyside,10444
Hampshire,129021
Kent,104154
Surrey,64989
Sussex,96466
Thames Valley,166333
Avon & Somerset,117040
Devon & Cornwall,85664
Dorset,46255
Gloucestershire,36291
Wiltshire,14778
Dyfed-Powys,21175
Gwent,44294
North Wales,41901
South Wales,92046
Staffordshire,68618
Warwickshire,33431
West Mercia,71654
West Midlands,211845
Humberside,76581
North Yorkshire,41605
South Yorkshire,101212
West Yorkshire,188039
Durham,27592
Wiltshire,21465
