Ashton & Leigh & Wigan,1885
Barking & Dagenham,526
Barnet,88
Barnsley,130
Bassetlaw,83
Bath & North East Somerset,108
Bedfordshire,90
Berkshire East,73
Berkshire West,101
Bexley Care Trust,103
Birmingham East & North,124
Blackburn,196
Blackpool,263
Bolton,853
Bournemouth & Poole,853
Bradford & Airedale,31
Brent Teaching,11
Brighton & Hove City,37
Bristol,24
Bromley,26
Buckinghamshire,29
Bury,46
Calderdale,73
Cambridgeshire,10
Camden,50
Central & Eastern Cheshire,28
Central Lancashire,28
City & Hackney Teaching,80
Cornwall & Isles Of Scilly,71
County Durham,33
Coventry Teaching,20
Croydon,29
Cumbria,46
Darlington,21
Derby City,39
Derbyshire County,16
Devon,17
Doncaster,38
Dorset,52
Dudley,1113
Ealing,71
East Lancashire,137
East Midlands,44
East of England,84
East Riding of Yorkshire,7
East Sussex Downs & Weald,60
Eastern & Coastal Kent,157
Enfield,55
Gateshead,49
Gloucestershire,197
Great Yarmouth & Waveney,29
Greenwich Teaching,89
Halton & St. Helens,111
Hammersmith & Fulham,1156
Hampshire,33
Haringey Teaching,138
Harrow,246
Hartlepool,33
Hastings & Rother,66
Havering,198
Heart of Birmingham Teaching,105
Herefordshire,97
Hertfordshire,238
Heywood & Middleton & Rochdale,719
Hillingdon,719
Hounslow,56
Hull,57
Isle of Wight,51
Islington,40
Kensington & Chelsea,23
Kingston,38
Kirklees,55
Knowsley,20
Lambeth,15
Leeds,34
Leicester City,50
Leicestershire County & Rutland,64
Lewisham,16
Lincolnshire,27
Liverpool,77
London,55
London,41
Luton,596
Manchester,596
Medway,28
Mid Essex,44
Middlesbrough,28
Milton Keynes,120
Newcastle,28
Newham,16
Norfolk,99
North East,31
North East Essex,31
North East Lincolnshire,43
North Lancashire,52
North Lincolnshire,52
North Somerset,24
North Staffordshire,2760
North Tyneside,2760
North West,128
North Yorkshire & York,127
Northampton,96
Northumberland Care Trust,129
Nottingham City,69
Nottinghamshire County,94
Oldham,161
Oxfordshire,93
Peterborough,56
Plymouth Teaching,107
Portsmouth City Teaching,56
Redbridge,59
Redcar & Cleveland,64
Richmond & Twickenham,37
Rotherham,81
Salford,74
Sandwell,92
Sefton,37
Sheffield,58
Shropshire County,190
Solihull,184
Somerset,81
South Birmingham,57
South Central,20
South East,191
South East Coast,128
South East Essex,60
South Gloucestershire,36
South Staffordshire,103
South Tyneside,52
South West,1199
South West Essex,807
Southampton City,52
Southwark,83
Stockport,118
Stockton-On-Tees Teaching,37
Stoke on Trent,115
Suffolk,138
Sunderland Teaching,137
Surrey,127
Sutton & Merton,392
Swindon,35
Tameside & Glossop,59
Telford & Wrekin,28
Torbay Care Trust,103
Tower Hamlets,24
Trafford,45
Wakefield District,32
Walsall Teaching,20
Waltham Forest,46
Wandsworth,675
Warrington,17
Warwickshire,26
West Essex,42
West Kent,116
West Midlands,83
West Midlands,25
West Sussex,39
Western Cheshire,15
Westminster,63
Wiltshire,68
Wirral,19
Wolverhampton City,25
Worcestershire,12
Yorkshire and the Humber,125
